dt 	Current 	Target 	ShortestDistance 	Error 	Acc. Error 	State 	Pivot: br	PID output 				
11280908	73.3440854065	0	0.9575582275	0	0	DISABLED	0 		11.280908			
20491977	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		20.491977			
20060309	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.060309			
20162621	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.162621			
20563972	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.563972			
22366949	73.247389184	73.247389184	-0	0	0	DISABLED	0 		22.366949			
21001953	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		21.001953			
21001917	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		21.001917			
20653683	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		20.653683			
20078501	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.078501			
20547989	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.547989			
20830464	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.830464			
32500217	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		32.500217			
20376455	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.376455			
20081504	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.081504			
20800599	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		20.800599			
20124983	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		20.124983			
20278880	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.27888			
19895474	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		19.895474			
20300459	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.300459			
19809893	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.809893			
19844029	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		19.844029			
20276024	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.276024			
19767674	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		19.767674			
20407301	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.407301			
19956716	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.956716			
19739041	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		19.739041			
20065787	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.065787			
19902875	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.902875			
20831802	73.247389184	73.3440854065	-0	0	0	DISABLED	0 		20.831802			
20754225	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.754225			
19718863	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		19.718863			
21334459	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		21.334459			
